date,event,룬_콤보킬,몬스터파크,몬컬_세트,미라클_타임,샤이닝_스타포스,소울_확률,솔에르다_2배,솔에르다_타임,스타포스_1+1,스타포스_30%할인,스타포스_5_10_15,스타포스_파괴감소,어빌리티_반값,주문의_흔적_반값,트레져_헌터,헥사_스텟,현상금_사냥꾼
2021.07.11,<메이플 LIVE>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.07.18,<메이플 LIVE>,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021.07.25,<메이플 LIVE>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021.08.01,<메이플 LIVE>,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2021.08.08,<메이플 LIVE>,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021.08.15,<메이플 LIVE>,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021.08.22,<메이플 LIVE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021.08.29,<메이플 LIVE>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.09.05,<메이플 LIVE>,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2021.09.12,<추추 푸드 페스티벌>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.09.19,<추추 푸드 페스티벌>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2021.09.26,<추추 푸드 페스티벌>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.10.03,<추추 푸드 페스티벌>,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2021.10.10,<추추 푸드 페스티벌>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2021.10.17,(헤이스트 플러스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.10.24,(헤이스트 플러스),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021.10.31,(택티컬 릴레이 Ver.3),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.11.07,(택티컬 릴레이 Ver.3),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2021.11.14,(워너비 메이플 아이돌!),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021.11.21,(워너비 메이플 아이돌!),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021.11.28,(워너비 메이플 아이돌!),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021.12.05,(워너비 메이플 아이돌!),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021.12.12,(토벤머리 용사와 특별 과외),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.12.19,(토벤머리 용사와 특별 과외),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021.12.26,(토벤머리 용사와 특별 과외),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.01.02,<별빛 심포니>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2022.01.09,<별빛 심포니>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.01.16,<별빛 심포니>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2022.01.23,<별빛 심포니>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.01.30,<별빛 심포니>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.02.06,<별빛 심포니>,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022.02.13,<별빛 심포니>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022.02.20,<별빛 심포니>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.02.27,<별빛 심포니>,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2022.03.06,<별빛 심포니>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.03.13,(슈피겔만의 별빛 상자),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022.03.20,(슈피겔만의 별빛 상자),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.03.27,(사냥 가속! 슈퍼 헤이스트!),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.04.03,(사냥 가속! 슈퍼 헤이스트!),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022.04.10,(카밀라의 팝업 스토어),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2022.04.17,(카밀라의 팝업 스토어),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022.04.24,<메이플 모멘트리>,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022.05.01,<메이플 모멘트리>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.05.08,<메이플 모멘트리>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022.05.15,<메이플 모멘트리>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022.05.22,<메이플 모멘트리>,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022.05.29,<메이플 모멘트리>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.06.05,<메이플 모멘트리>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022.06.12,<메이플 모멘트리>,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2022.06.19,<이그니션 불꽃 축제>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
